Country,People's Rep. of China,India,United States,Indonesia,Brazil,Pakistan,Nigeria,Bangladesh,Russia,Japan,Mexico,Philippines,Ethiopia,Viet Nam
2000,3259.3,892.0,5642.6,258.3,292.3,96.0,43.8,20.9,1474.2,1156.6,344.0,68.1,3.2,44.2
2001,3344.6,910.9,5605.1,277.7,298.9,97.0,49.4,24.8,1474.5,1144.4,345.3,67.9,4.0,48.8
2002,3547.8,940.2,5535.8,283.4,298.2,99.4,51.1,26.5,1465.6,1179.9,352.0,66.8,4.2,57.2
2003,4116.7,954.3,5609.4,312.1,292.4,102.3,54.1,27.8,1493.7,1187.5,358.4,69.0,4.6,60.3
2004,4787.8,1033.7,5687.6,318.5,309.8,114.6,54.3,29.7,1488.0,1188.7,364.1,70.5,4.8,73.4
2005,5359.7,1086.5,5702.3,321.6,310.5,116.8,56.4,32.0,1481.7,1196.1,381.8,71.5,4.5,79.1
2006,5881.0,1157.1,5601.7,343.0,314.0,126.3,50.8,35.2,1537.4,1183.1,390.6,65.5,4.8,81.4
2007,6275.6,1266.0,5685.9,358.0,329.6,137.8,47.6,37.3,1533.4,1220.8,405.3,69.0,5.4,89.8
2008,6337.9,1341.9,5511.6,354.8,347.9,132.1,52.8,40.9,1553.6,1137.1,398.9,71.2,5.9,100.9
2009,6618.3,1512.7,5119.9,370.4,324.4,135.4,43.9,44.0,1440.4,1076.4,395.9,71.4,6.0,111.6
2010,7095.3,1596.8,5355.5,383.2,370.5,131.4,55.8,49.9,1528.9,1126.1,414.0,77.1,6.0,126.1
2011,8420.1,1659.9,5219.0,390.5,389.5,132.6,60.7,53.3,1604.4,1177.9,428.3,77.7,6.9,126.5
2012,8519.2,1780.1,5031.7,416.3,422.2,134.2,63.3,57.3,1550.8,1217.2,433.7,80.4,7.3,127.2
2013,8977.1,1868.6,5119.7,424.6,452.4,134.8,61.0,59.6,1543.1,1235.1,451.8,89.6,8.5,130.1