Date,NASDAQ,S&P500,DJI
12/1/2016,5251.109863,2191.080078,19191.929688
11/30/2016,5323.680176,2198.810059,19123.580078
11/29/2016,5379.919922,2204.659912,19121.599609
11/28/2016,5368.810059,2201.719971,19097.900391
11/25/2016,5398.919922,2213.350098,19152.140625
11/23/2016,5380.680176,2204.719971,19083.179688
11/22/2016,5386.350098,2202.939941,19023.869141
11/21/2016,5368.859863,2198.179932,18956.689453
11/18/2016,5321.509766,2181.899902,18867.929688
11/17/2016,5333.970215,2187.120117,18903.820312
11/16/2016,5294.580078,2176.939941,18868.140625
11/15/2016,5275.620117,2180.389893,18923.060547
11/14/2016,5218.399902,2164.199951,18868.689453
11/11/2016,5237.109863,2164.449951,18847.660156
11/10/2016,5208.799805,2167.47998,18807.880859
11/9/2016,5251.069824,2163.26001,18589.689453
11/8/2016,5193.490234,2139.560059,18332.740234
11/7/2016,5166.169922,2131.52002,18259.599609
11/4/2016,5046.370117,2085.179932,17888.279297
11/3/2016,5058.410156,2088.659912,17930.669922
11/2/2016,5105.569824,2097.939941,17959.640625